153
t_index tf-idf
1 0.01259241364844011
37 0.04750685518217345
70 0.05170684148213519
215 0.039542591657120624
350 0.019726139613625043
556 0.02556422470701262
776 0.09069009125975769
875 0.07524642467893145
935 0.01271124422485554
964 0.021215066148866164
973 0.04703049078639407
990 0.2840658083621833
1045 0.05268385300491812
1126 0.1332229296905998
1495 0.04951408092028052
1544 0.025691848826824525
1653 0.04435714058001827
1763 0.048157252828915594
1922 0.06854678214648684
1992 0.034222679320186584
2020 0.08386108585072641
2099 0.09501804568151823
2101 0.0673580731459575
2207 0.07916509259771586
2927 0.09385986334439529
3034 0.10348480588198845
3115 0.05853584689116647
3204 0.07423614331313323
3331 0.0642837744932992
3391 0.029803248757842474
3393 0.07740591539777082
3486 0.07144020618457134
3550 0.059579444794511785
3619 0.06778097286017765
4080 0.052027887431289485
4137 0.03297302084248007
4220 0.07856409773489377
4354 0.07408308133969975
4389 0.09385986334439529
4390 0.03203531070136604
4415 0.0444980195045219
4604 0.0621101497882693
4658 0.008888572408675318
4712 0.04492574331258462
4830 0.060671040751072346
4835 0.07684734776537744
4931 0.05170684148213519
5017 0.037669014095490616
5036 0.08539310314392505
5046 0.03178587202329345
5050 0.031294722865941045
5097 0.05248520725067613
5248 0.017180342092641517
5296 0.057536203226243414
5528 0.0494269092508107
5576 0.10524398308193349
5652 0.14559406855187254
5702 0.08041475107542236
5754 0.04492574331258462
5807 0.05040324962996033
6026 0.0718839205820603
6063 0.018278250095800638
6112 0.03065527601014166
6123 0.04096020858863429
6205 0.04986576185785075
6254 0.087030857935364
6401 0.0483226753039686
6405 0.21841903561176762
6467 0.0655994995754414
6493 0.03920103138868927
6541 0.06933812306107678
6641 0.03341181391122629
6852 0.2991945711471045
6865 0.07473590975344432
7010 0.03314756596055132
7241 0.09501804568151823
7263 0.13335335875008344
7324 0.023845994764360386
7334 0.02693977807276152
7603 0.034499242010853026
7607 0.014044121998191321
7612 0.027211072786862186
7631 0.20914006930097706
7660 0.05248520725067613
7698 0.0718839205820603
8028 0.038858820772204955
8062 0.05412296204211508
8232 0.04170208237596001
8272 0.1235979871530066
8328 0.028471795365960166
8400 0.01625963830146488
8402 0.03798908225823869
8405 0.12792160625759583
8523 0.050585151126227475
8586 0.09501804568151823
8632 0.038753130759092515
8679 0.1292224015510801
8709 0.05132702491355318
8784 0.046409853366302545
8796 0.06396080312879791
8913 0.1348142758082039
9043 0.09623564739661407
9162 0.11676898174397532
9217 0.0988759247601539
9385 0.02372789487346889
9524 0.02911779019053919
9699 0.07057690998873954
9715 0.07326710961906112
9716 0.12078679963750596
9916 0.11676898174397532
9924 0.08789415413119579
9948 0.08242197681352943
10069 0.10265404982710637
10321 0.0718839205820603
10409 0.05228821002791893
10448 0.04951408092028052
10494 0.08972105756568559
10507 0.1235979871530066
10560 0.24157359927501193
10585 0.06461120077554006
10731 0.056576960429033415
10810 0.03153902720862272
10889 0.12792594157476717
11015 0.021642789956928882
11018 0.003956592607894569
11022 0.027142957878990483
11046 0.026546678106518437
11077 0.04625719670446693
11084 0.056229651590787307
11094 0.0652799218729069
11133 0.05682887502190182
11159 0.03149824675195555
11192 0.15595588755705844
11199 0.055882139242060105
11316 0.028907367753729242
11418 0.014881318104416657
11839 0.0327997497877207
11871 0.055882139242060105
12011 0.05705173683744854
12064 0.05705173683744854
12092 0.11676898174397532
12111 0.0251228674942836
12126 0.035252893535510726
12146 0.03413120317960301
12176 0.0444980195045219
12211 0.027903192633393813
12246 0.041204932705657143
12292 0.058792476732306975
12294 0.11651275288599733
12297 0.04865701926922669
12310 0.07233608718868458
12383 0.015167075989834643
12425 0.05076845728115981
