t_index term df
410 analog 1
411 analysi 9
412 analyst 38
413 analyz 5
414 anarch 2
415 anathema 1
416 anatoli 8
417 anca 4
418 ancestor 3
419 ancestr 25
420 ancestri 1
421 anchor 8
422 anchorag 2
423 anchorman 3
424 ancient 4
425 and 404
426 andean 6
427 anderson 4
428 andi 5
429 andjelkov 1
430 andoslavia 1
431 andr 48
432 andrea 14
433 andrei 2
434 andrew 15
435 andrik 1
436 anew 7
437 angel 13
438 anger 46
439 angl 12
440 anglican 1
441 angri 27
442 angrili 4
443 anguish 8
444 ani 312
445 anim 2
446 animist 2
447 animos 11
448 anjana 1
449 anjar 6
450 anjay 1
451 ank 2
452 ankl 9
453 ann 11
454 anna 21
455 annabel 1
456 annacon 1
457 annan 13
458 anniversari 15
459 announc 164
460 annoy 2
461 annual 18
462 annul 11
463 anomali 1
464 anonym 63
465 anoth 263
466 answer 51
467 antagon 1
468 antasiaovich 1
469 antenna 2
470 anthem 6
471 anthoni 27
472 anthropologist 2
473 anti 85
474 antiballist 1
475 antibiot 5
476 anticip 17
477 anticlimact 1
478 antonia 6
479 antonin 1
480 antonio 26
481 anwar 4
482 anxieti 3
483 anxiou 11
484 anxious 2
485 anybodi 14
486 anymor 9
487 anyon 58
488 anyth 94
489 anytim 4
490 anyway 13
491 anywher 18
492 aon 1
493 ap 20
494 apart 69
495 ape 1
496 apec 4
497 apex 1
498 apolit 1
499 apolog 18
500 appal 1
501 appallingli 1
502 appar 193
503 apparatu 7
504 appeal 95
505 appear 196
506 appel 1
507 appetit 2
508 appl 3
509 applaud 10
510 applaus 8
511 appleton 2
512 appli 18
513 applic 16
514 appoint 68
515 appointe 3
516 apprais 2
517 appreci 16
518 apprehend 4
519 apprehens 2
520 apprentic 3
521 appris 1
522 approach 49
523 appropri 18
524 approv 25
525 approxim 12
526 april 67
527 aprista 4
528 apron 1
529 aquil 2
530 ar 3
531 arab 61
532 arabi 1
533 arabia 71
534 arabian 44
535 arafat 16
536 arantxa 3
537 arazi 7
538 arbadi 1
539 arbit 1
540 arbitrari 2
541 arbitrarili 1
542 arc 1
543 arch 2
544 archaeolog 2
545 archbishop 4
546 archer 1
547 archeri 4
548 archetyp 1
549 archi 5
550 archibald 1
551 architect 7
552 architectur 4
553 arctic 6
554 ardent 4
555 arduou 1
556 are 373
557 area 186
558 aren 9
559 arena 22
560 aretz 1
561 argentin 1
562 argentina 10
563 argu 45
564 arguabl 2
565 argument 18
566 ari 1
567 arid 5
568 arif 1
569 arisen 1
570 arithmet 1
571 aritomi 4
572 ariz 8
573 arizona 7
574 ark 8
575 arkadelphia 1
576 arkan 1
577 arkansa 28
578 arkin 2
579 arleigh 3
580 arlen 2
581 arlington 8
582 arm 133
583 armament 2
584 armbrist 1
585 armenia 2
586 armey 1
587 armi 136
588 armitag 1
589 armor 17
590 armori 3
591 arn 3
592 arnaud 17
593 arni 1
594 arno 1
595 arnold 3
596 arnot 1
597 aros 5
598 around 191
599 arous 1
600 arraign 2
601 arrang 38
602 array 6
603 arrear 1
604 arrest 109
605 arriv 180
606 arrog 3
607 arrow 4
608 arsen 10
609 arseni 1
610 arsonist 1
611 art 11
612 arthriti 1
613 arthur 4
614 articl 5
615 articul 1
616 artifact 1
617 artifici 4
618 artist 4
619 artudo 1
620 arturo 6
621 aruba 2
622 aryapov 1
623 as 280
624 asa 1
625 asahi 1
626 ascend 1
627 ascrib 4
628 asean 1
629 ash 5
630 asham 1
631 ashcroft 56
632 ashkroft 1
633 ashok 1
634 ashor 2
